,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
106,55209,3801500100000,0.5,2022-02-10,1.0,2,20000,0,0,1.0,0,1,63,1,0,0.0
107,55209,3800001000000,0.5,2022-07-04,1.0,0,35000,0,0,1.0,1,1,65,0,0,0.3
108,55209,3800000300000,0.6,2022-01-25,1.0,9,60000,0,0,1.0,1,1,83,6,0,0.3
109,55209,3800700006100,0.6,2022-06-10,1.0,0,30000,0,0,1.0,0,1,56,0,0,0.0
110,52749,4700000400000,1.0,2023-01-18,1.0,0,70000,0,0,1.0,0,0,64,0,0,0.0
111,52749,4700700100000,0.6,2022-08-10,1.0,1,80000,0,0,1.0,0,1,80,1,0,0.0
112,52749,4700900100000,0.6,2022-06-08,1.0,1,30000,0,0,1.0,1,1,68,1,0,0.0
113,52749,4700300002800,1.0,2022-06-20,1.0,0,40000,0,0,0.9,0,1,66,0,0,0.0
114,52216,7502700000100,0.6,2022-01-13,1.0,0,20000,0,0,1.0,0,0,63,1,0,0.0
115,52216,7501900100000,0.5,2021-11-09,1.0,0,20000,0,0,1.0,0,0,63,1,0,0.0
116,52216,7512900000100,0.5,2022-05-25,1.0,0,20000,0,0,1.0,0,0,55,0,0,0.0
117,52216,7500000100000,0.5,2022-08-08,1.0,0,15000,0,0,1.0,0,0,60,0,1,0.0
118,52216,7501100100000,0.5,2022-07-08,1.0,31,35000,0,0,1.0,1,1,74,3,0,0.5
119,50955,7000000100000,1.0,2022-05-24,1.0,0,45000,0,0,0.9,0,1,63,0,0,0.7
120,50955,7000000300000,0.6,2022-09-13,1.0,2,28000,0,0,1.0,0,0,66,1,0,0.5
121,50955,7000000100000,1.0,2022-07-14,1.0,3,50000,0,0,0.9,0,0,79,1,1,0.7
122,50955,7000000100000,0.5,2022-11-18,1.0,0,30000,1,0,1.0,1,1,76,1,0,0.0
123,50955,7000000100000,1.0,2022-08-23,1.0,1,45000,0,0,1.0,0,0,78,2,0,0.5
